Variable_Label,Data_Type,Description,Source,Sheets
Investigation ID,String of 7 characters,"Unique 7-character field NHTSA-assigned alphanumeric ID that NHTSA uses to identify an investigation. Examples: AQ09001, DP09001, PE09001.",NHTSA investigations data & investigation opening/closing resume,"Characteristics of Opened Inv, Complaints at Opening, Characteristics of Closed Inv, Complaints at Closing, Outcomes of Inv"
Date Investigation Opened,MM/DD/YYYY,The date when the NHTSA opened the investigation.,Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv, Outcomes of Inv"
"Date Investigation Closed, ",MM/DD/YYYY,"The date when (and if) the NHTSA closed the investigation. The variable does not have a value for investigations that are open as on December 17, 2021 (the last date of our data collection).",Closing resume,"Characteristics of Closed Inv, Outcomes of Inv"
Principal Investigator,String of 18 characters,"Name of the ODI principal investigator for the focal investigation, 76 and 63 distinct full names in the opening data set and the closing data set, respectively.",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Subject,String of 70 characters,"Textual subject (or headline) of the investigation, Examples: “Unwanted and Unintended Acceleration”, “Vehicle Stability Assist Malfunction”.",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Manufacturer,String of 297 characters,"Cleaned name of one or more manufacturers whose products have the alleged defect. 200 and 199 distinct values in the opening data set and the closing data set, respectively",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Products,String of 122 characters,"The set of distinct model-year, make, and models of the vehicles that have the alleged defect.",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Population Raw,String of 21 characters,"The raw value of the number of vehicles potentially affected by the defect, extracted from the population field in the opening/closing resume PDF files. For a given investigation, this number can be different in the opening data set and the closing data set. , Example: the population is estimated at 2,500 in the opening resume of PE09001 and 4,591 in the closing resume. ",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Prompted By,String of 60 characters,"What or who prompted the opening of the investigation? Examples of values: complaints, petition, a prior investigation or recall. If a prior investigation led to the focal investigation, Prompted By reports the ID of the previous investigation. , Example: PE09006 opening resume states IE09009—a complaint from a dealer—as the reason behind PE09006.",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
Reviewer,String of 18 characters,"Name of the ODI reviewer for the focal investigation. 18 and 16 distinct names in the opening and closing data set, respectively.",Opening/closing resume,"Characteristics of Opened Inv, Characteristics of Closed Inv"
